Name,Platform,Publisher,Developer,Total_Shipped,Year,,,,,,Critic_Score,User_Score
Euro Truck Simulator 2,PC,SCS Software,SCS Software,5.98,2013,,,,,,8.5,8.7
Mario Kart: Super Circuit,GBA,Nintendo,Intelligent Systems,5.91,2001,,,,,,9.3,
Super Mario Sunshine,GC,Nintendo,Nintendo EAD,5.91,2002,,,,,,9.2,
Super Mario 3D World,WiiU,Nintendo,Nintendo EAD Tokyo,5.84,2013,,,,,,9.5,8.9
Age of Empires II: HD Edition,PC,Microsoft Studios,Hidden Path Entertainment,5.82,2013,,,,,,6.8,7.9
New Super Mario Bros. U,WiiU,Nintendo,Nintendo EAD,5.8,2012,,,,,,8.4,8
Link's Crossbow Training,Wii,Nintendo,Nintendo EAD,5.79,2007,,,,,,6.9,
Red Dead Redemption 2,XOne,Rockstar Games,Rockstar Games,5.77,2018,,,,,,9.7,7.4
Destiny,PS4,Activision,Bungie,5.76,2014,,,,,,7.6,6.1
Tekken 2,PS,Namco,Namco,5.74,1996,,,,,,9.1,
Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment,Bluepoint Games,5.7,2015,,,,,,8.6,8.5
Super Mario World: Super Mario Advance 2,GBA,Nintendo,Nintendo EAD,5.69,2002,,,,,,9.4,
LEGO Star Wars: The Complete Saga,Wii,LucasArts,Traveller's Tales,5.66,2007,,,,,,8,
Cooking Mama,DS,Majesco,Office Create,5.66,2006,,,,,,6.6,
Tetris,NES,Nintendo,Nintendo,5.58,1989,,,,,,,
Super Mario Advance,GBA,Nintendo,Nintendo EAD,5.57,2001,,,,,,8.2,
Assassin's Creed II,PS3,Ubisoft,Ubisoft Montreal,5.57,2009,,,,,,9,
Super Smash Bros.,N64,Nintendo,HAL Laboratory,5.55,1999,,,,,,8.4,
Assassin's Creed,X360,Ubisoft,Ubisoft Montreal,5.55,2007,,,,,,8.2,8
Batman: Arkham City,PS3,Warner Bros. Interactive,Rocksteady Studios,5.54,2011,,,,,,9.6,
Forza Motorsport 3,X360,Microsoft Game Studios,Turn 10 Studios,5.5,2009,,,,,,9.2,9.8
Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,Level 5,5.5,2010,,,,,,8.6,
Final Fantasy IX,PS,Square,SquareSoft,5.5,2000,,,,,,9.2,
Final Fantasy X-2,PS2,Square Enix,Square Enix,5.5,2003,,,,,,8.3,
Sid Meier's Civilization VI,PC,2K Games,Firaxis Games,5.5,2016,,,,,,8.8,7
Tomb Raider (2013),PC,Square Enix,Crystal Dynamics,5.5,2013,,,,,,8.8,
Super Mario Maker 2,NS,Nintendo,Nintendo,5.48,2019,,,,,,8.8,8.5
Pokemon Stadium,N64,Nintendo,HAL Laboratory,5.46,2000,,,,,,7.5,
Minecraft,XOne,Microsoft Studios,Mojang,5.43,2014,,,,,,,
Call of Duty: World at War,PS3,Activision,Treyarch,5.43,2008,,,,,,8.4,
Super Mario Advance 4: Super Mario Bros. 3,GBA,Nintendo,Nintendo EAD,5.43,2003,,,,,,9.2,
Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,Traveller's Tales,5.42,2001,,,,,,6.9,
Super Smash Bros. for Wii U,WiiU,Nintendo,Bandai Namco Games,5.37,2014,,,,,,9.2,8.9
Final Fantasy XIII,PS3,Square Enix,Square Enix,5.35,2010,,,,,,8,9.2
Gran Turismo 5 Prologue,PS3,Sony Computer Entertainment,Polyphony Digital,5.35,2008,,,,,,8.3,
Dr. Mario,GB,Nintendo,Nintendo R&D1,5.34,1990,,,,,,,
Assassin's Creed III,X360,Ubisoft,Ubisoft Montreal,5.31,2012,,,,,,8.5,
Pokemon Pinball,GBC,Nintendo,Jupiter Corporation,5.31,1999,,,,,,8.7,
Assassin's Creed II,X360,Ubisoft,Ubisoft Montreal,5.3,2009,,,,,,9.1,
The Forest,PC,Endnight Games Ltd,Unknown,5.3,2014,,,,,,8.3,7.3
Donkey Kong 64,N64,Nintendo,Rare Ltd.,5.27,1999,,,,,,9.3,
Just Dance 2,Wii,Ubisoft,Ubisoft Paris,5.25,2010,,,,,,7.3,
Tomb Raider II,PS,Eidos Interactive,Core Design Ltd.,5.24,1997,,,,,,7.6,
Madden NFL 2004,PS2,EA Sports,EA Tiburon,5.23,2003,,,,,,9.5,
Call of Duty: Advanced Warfare,XOne,Activision,Sledgehammer Games,5.22,2014,,,,,,8.3,5.5
Fallout: New Vegas,PC,Bethesda Softworks,Obsidian Entertainment,5.22,2010,,,,,,8.3,
Gran Turismo 6,PS3,Sony Computer Entertainment America,Polyphony Digital,5.22,2013,,,,,,,
Kingdom Hearts II,PS2,Square Enix,Square Enix,5.2,2006,,,,,,8.3,
Nintendo Land,WiiU,Nintendo,Nintendo,5.2,2012,,,,,,7.8,7.9
Super Mario Land 3: Wario Land,GB,Nintendo,Nintendo R&D1,5.19,1994,,,,,,7.9,
Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo,Rare Ltd.,5.15,1995,,,,,,9.3,
Medal of Honor: Rising Sun,PS2,Electronic Arts,EA Los Angeles,5.13,2003,,,,,,5.9,
Battlefield 1,XOne,Electronic Arts,EA DICE,5.13,2016,,,,,,9.3,7.6
Kirby's Dream Land,GB,Nintendo,HAL Laboratory,5.13,1992,,,,,,,
Microsoft Flight Simulator,PC,Microsoft,Microsoft,5.12,1996,,,,,,7,
Guitar Hero II,PS2,RedOctane,Harmonix Music Systems,5.12,2006,,,,,,9.2,
FIFA 13,X360,EA Sports,EA Canada,5.11,2012,,,,,,,
Resident Evil 5,PS3,Capcom,Capcom,5.1,2009,,,,,,8.6,8.8
Fable III,X360,Microsoft Game Studios,Lionhead Studios,5.1,2010,,,,,,7.8,
Mario & Sonic at the Olympic Games,DS,Sega,Sega,5.1,2008,,,,,,7,
Grand Theft Auto: Vice City Stories,PSP,Rockstar Games,Rockstar Leeds,5.08,2006,,,,,,8.4,
FIFA Soccer 11,PS3,EA Sports,EA Canada,5.08,2010,,,,,,8.7,
Super Mario Bros. Deluxe,GB,Nintendo,Nintendo EAD,5.07,1999,,,,,,9.7,
Final Fantasy XV,PS4,Square Enix,Square Enix,5.07,2016,,,,,,8.1,9.5
Fallout 4,XOne,Bethesda Softworks,Bethesda Game Studios,5.03,2015,,,,,,8.4,6.4
Tony Hawk's Pro Skater,PS,Activision,Neversoft Entertainment,5.02,1999,,,,,,9.6,
Warzone 2100,PS,Eidos Interactive,Pumpkin Studios,5.01,1999,,,,,,7.5,
Spyro the Dragon,PS,Sony Computer Entertainment,Insomniac Games,5,1998,,,,,,8.7,
Gears of War,X360,Microsoft Game Studios,Epic Games,5,2006,,,,,,9.4,9.4
Gears of War 2,X360,Microsoft Game Studios,Epic Games,5,2008,,,,,,9.4,9.5
Halo 5: Guardians,XOne,Microsoft Studios,343 Industries,5,2015,,,,,,8.6,6.4
Halo: Combat Evolved,XB,Microsoft,Bungie Studios,5,2001,,,,,,9.5,
Guitar Hero III: Legends of Rock,PS2,RedOctane,BudCat Creations,4.98,2007,,,,,,8.2,
Uncharted: Drake's Fortune,PS3,Sony Computer Entertainment,Naughty Dog,4.97,2007,,,,,,8.7,8.6
Resident Evil 2,PS,Capcom,Capcom,4.96,1998,,,,,,9.3,
Fallout 3,X360,Bethesda Softworks,Bethesda Game Studios,4.96,2008,,,,,,9,8.6
Splatoon,WiiU,Nintendo,Nintendo EAD,4.95,2015,,,,,,8.4,8.7
Madden NFL 06,PS2,EA Sports,EA Tiburon,4.91,2005,,,,,,9.1,
Stardew Valley,PC,Chucklefish,ConcernedApe,4.91,2016,,,,,,9.2,8.7
Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,Level 5 / Armor Project,4.9,2005,,,,,,8.6,
Monster Hunter Freedom 3,PSP,Capcom,Capcom,4.9,2010,,,,,,,
Diddy Kong Racing,N64,Nintendo,Rare Ltd.,4.88,1997,,,,,,8.3,
Pokemon Mystery Dungeon: Explorers of Time / Darkness,DS,Nintendo,ChunSoft,4.88,2008,,,,,,6.4,
Call of Duty: Black Ops IIII,XOne,Activision,Treyarch,4.85,2018,,,,,,,
Dr. Mario,NES,Nintendo,Nintendo R&D1,4.85,1990,,,,,,,
Crash Bandicoot N. Sane Trilogy,PS4,Activision,Vicarious Visions,4.83,2017,,,,,,8,8.5
Assassin's Creed,PS3,Ubisoft,Ubisoft Montreal,4.83,2007,,,,,,8.2,8.5
Call of Duty: Infinite Warfare,XOne,Activision,Infinity Ward,4.79,2016,,,,,,7.8,3.6
Crash Team Racing,PS,Sony Computer Entertainment,Naughty Dog,4.79,1999,,,,,,9.2,
LEGO Star Wars: The Complete Saga,DS,LucasArts,Traveller's Tales,4.77,2007,,,,,,7.8,
The Legend of Zelda: Phantom Hourglass,DS,Nintendo,Nintendo EAD,4.76,2007,,,,,,9.1,
Batman: Arkham City,X360,Warner Bros. Interactive,Rocksteady Studios,4.75,2011,,,,,,9.5,
Driver 2,PS,Atari,Reflections Interactive,4.73,2000,,,,,,7,
The Simpsons: Hit & Run,PS2,VU Games,Radical Entertainment,4.7,2003,,,,,,7.7,
World of Warcraft: Cataclysm,PC,Blizzard Entertainment,Blizzard Entertainment,4.7,2010,,,,,,9,
Tony Hawk's Pro Skater 2,PS,Activision,Neversoft Entertainment,4.68,2000,,,,,,9.3,
Gran Turismo,PSP,Sony Computer Entertainment,Polyphony Digital,4.67,2009,,,,,,7.7,9.5
The Lord of the Rings: The Two Towers,PS2,Electronic Arts,Stormfront Studios,4.67,2002,,,,,,8.3,
Tomb Raider,PS,Eidos Interactive,Core Design Ltd.,4.63,1996,,,,,,8.9,
God of War,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,4.62,2005,,,,,,9.3,
The Legend of Zelda: A Link to the Past,SNES,Nintendo,Nintendo EAD,4.61,1992,,,,,,10,
Left 4 Dead,PC,Valve Corporation,Valve Software,4.6,2008,,,,,,8.6,8.5
Forza Motorsport 4,X360,Microsoft Studios,Turn 10 Studio,4.6,2011,,,,,,9.1,
Guitar Hero III: Legends of Rock,Wii,RedOctane,Vicarious Visions,4.6,2007,,,,,,8.6,
Nintendogs + cats,3DS,Nintendo,Nintendo EAD,4.59,2011,,,,,,7.2,
"Pokemon: Let's Go, Pikachu!",NS,Nintendo,Game Freak,4.57,2018,,,,,,8.3,6.1
BioShock Infinite,PC,2K Games,Irrational Games,4.56,2013,,,,,,9.5,8.6
Mario & Luigi: Bowser's Inside Story,DS,Nintendo,AlphaDream Corporation,4.56,2009,,,,,,9.1,
FIFA 15,PS3,EA Sports,EA Canada,4.56,2014,,,,,,6.9,
Mario & Sonic at the Olympic Winter Games,Wii,Sega,Sega,4.54,2009,,,,,,6.8,
Overwatch,PS4,Blizzard Entertainment,Blizzard Entertainment,4.54,2016,,,,,,8.8,6.4
Madden NFL 2005,PS2,EA Sports,EA Tiburon,4.53,2004,,,,,,9.5,
Guitar Hero III: Legends of Rock,X360,RedOctane,Neversoft,4.53,2007,,,,,,8.7,
Star Wars Battlefront II (2017),PS4,Electronic Arts,EA DICE,4.53,2017,,,,,,,
Dead Island,PC,Deep Silver,Techland,4.52,2011,,,,,,7.1,6.9
Arma 2: Operation Arrowhead,PC,Meridian4,Bohemia Interactive,4.51,2010,,,,,,,
ARK: Survival Evolved,PC,Studio Wildcard,Studio Wildcard,4.5,2015,,,,,,7,5.2
LittleBigPlanet,PS3,Sony Computer Entertainment,Media Molecule,4.5,2008,,,,,,9.4,9.2
Riven: The Sequel to Myst,PC,Red Orb,Cyan Worlds,4.5,1997,,,,,,,
StarCraft II: Wings of Liberty,PC,Blizzard Entertainment,Blizzard Entertainment,4.5,2010,,,,,,9.3,
Warcraft III: Reign of Chaos,PC,Blizzard Entertainment,Blizzard Entertainment,4.5,2002,,,,,,9.3,
Pitfall!,2600,Activision,Activision,4.5,1982,,,,,,,
Professor Layton and the Curious Village,DS,Nintendo,Level 5,4.49,2008,,,,,,8.7,
Madden NFL 07,PS2,EA Sports,EA Tiburon,4.49,2006,,,,,,8.5,
Spider-Man: The Movie,PS2,Activision,Treyarch,4.48,2002,,,,,,8.2,
The Elder Scrolls IV: Oblivion,X360,Take-Two Interactive,Bethesda Softworks,4.47,2009,,,,,,9.2,
The Legend of Zelda: The Wind Waker,GC,Nintendo,Nintendo EAD,4.43,2003,,,,,,9.6,
Tony Hawk's Pro Skater 3,PS2,Activision,Neversoft Entertainment,4.41,2001,,,,,,9.1,
Winning Eleven: Pro Evolution Soccer 2007,PS2,Konami,Konami Computer Entertainment Tokyo,4.39,2007,,,,,,8.8,
The Legend of Zelda: Link's Awakening,NS,Nintendo,Nintendo,4.38,2019,,,,,,8.7,8.4
Zelda II: The Adventure of Link,NES,Nintendo,Nintendo EAD,4.38,1988,,,,,,,
Michael Jackson: The Experience,Wii,Ubisoft,Ubisoft Montpellier,4.37,2010,,,,,,5.6,
Tom Clancy's The Division,PS4,Ubisoft,Massive Entertainment,4.37,2016,,,,,,8,7
Need for Speed: Most Wanted,PS2,Electronic Arts,EA Canada,4.37,2005,,,,,,8.6,
Resistance: Fall of Man,PS3,Sony Computer Entertainment,Insomniac Games,4.37,2006,,,,,,8.5,9.1
Tom Clancy's Rainbow Six: Siege,PS4,Ubisoft,Ubisoft Montreal,4.36,2015,,,,,,,
Call of Duty: Advanced Warfare,X360,Activision,High Moon Studios,4.34,2014,,,,,,9.1,
Watch Dogs,PS4,Ubisoft,Ubisoft Montreal,4.32,2014,,,,,,8,6.4
Animal Crossing: City Folk,Wii,Nintendo,Nintendo EAD,4.32,2008,,,,,,7.1,8.8
Starbound,PC,"Infocom, Inc.",Unknown,4.31,2014,,,,,,8.1,7.1
Asteroids,2600,Atari,Atari,4.31,1981,,,,,,7.6,7.8
Dragon Quest VII,PS,Enix,Heart Beat,4.3,2001,,,,,,8,3
Monster Hunter Generations,3DS,Capcom,Capcom,4.3,2016,,,,,,8.8,8
The Witcher 3: Wild Hunt,XOne,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,4.3,2015,,,,,,9.1,9.2
Batman: Arkham Asylum,PS3,Eidos Interactive,Rocksteady Studios,4.28,2009,,,,,,9,
Call of Duty: Advanced Warfare,PS3,Activision,High Moon Studios,4.27,2014,,,,,,9.1,
God of War II,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,4.24,2007,,,,,,9.3,9.8
Namco Museum,GBA,Namco,Mass Media,4.24,2001,,,,,,8.5,
Daxter,PSP,Sony Computer Entertainment,Ready at Dawn,4.23,2006,,,,,,8.6,
Super Paper Mario,Wii,Nintendo,Intelligent Systems,4.23,2007,,,,,,8.5,
Assassin's Creed: Revelations,PS3,Ubisoft,Ubisoft Montreal,4.23,2011,,,,,,8.8,
Metal Gear Solid 3: Snake Eater,PS2,Konami,KCEJ / Kojima Productions,4.23,2004,,,,,,9,
Assassin's Creed: Revelations,X360,Ubisoft,Ubisoft Montreal,4.22,2011,,,,,,7.9,
FIFA Soccer 06,PS2,EA Sports,EA Canada,4.21,2005,,,,,,8.4,
Counter-Strike,PC,Sierra Studios,Unknown,4.2,2000,,,,,,8.9,
Monster Hunter 4 Ultimate,3DS,Capcom,Capcom,4.2,2015,,,,,,8.8,8.6
Mortal Kombat 11,PS4,NetherRealm Studios,Warner Bros. Interactive Entertainment,4.2,2019,,,,,,8.2,3.6
Street Fighter IV,PS3,Capcom,Capcom / Dimps Corporation,4.19,2009,,,,,,9.3,9
7 Days to Die,PC,The Fun Pimps,The Fun Pimps,4.18,2013,,,,,,,
FIFA Soccer 12,X360,EA Sports,EA Canada,4.18,2011,,,,,,9.2,
Call of Duty: Ghosts,PS4,Activision,Infinity Ward,4.17,2013,,,,,,7.5,3.8
Teenage Mutant Ninja Turtles,NES,Ultra Games,Konami,4.17,1989,,,,,,5.9,
Just Cause 2,PC,Eidos Interactive,Avalanche Studios,4.16,2010,,,,,,8.2,
Excitebike,NES,Nintendo,Nintendo R&D1,4.16,1985,,,,,,8.4,
Frogger,PS,Hasbro Interactive,Millenium Interactive,4.16,1997,,,,,,2,
Star Wars Battlefront (2015),XOne,Electronic Arts,EA DICE,4.15,2015,,,,,,6.9,
FIFA 14,X360,EA Sports,EA Canada,4.15,2013,,,,,,9.1,
Madden NFL 2003,PS2,EA Sports,EA Tiburon,4.14,2002,,,,,,9.4,
Assassin's Creed: Unity,PS4,Ubisoft,Ubisoft Montreal,4.14,2014,,,,,,,
Destiny 2,PS4,Activision,Bungie,4.14,2017,,,,,,8.5,4.9
Super Mario World 2: Yoshi's Island,SNES,Nintendo,Nintendo EAD,4.12,1995,,,,,,9,
Batman: Arkham Knight,PS4,Warner Bros. Interactive,Rocksteady Studios,4.11,2015,,,,,,8.1,7.8
FIFA 07 Soccer,PS2,EA Sports,Team Fusion,4.11,2006,,,,,,8.4,
The Sims 4,PC,Electronic Arts,Maxis,4.1,2014,,,,,,7,4
Monster Hunter 4,3DS,Capcom,Capcom,4.1,2013,,,,,,,
Street Fighter II Turbo,SNES,Capcom,Capcom,4.1,1993,,,,,,9,
Fallout: New Vegas,X360,Bethesda Softworks,Obsidian Entertainment,4.08,2010,,,,,,8.2,
The Legend of Zelda: A Link Between Worlds,3DS,Nintendo,Nintendo EAD,4.07,2013,,,,,,9.3,9
Assassin's Creed Origins,PS4,Ubisoft,Ubisoft Montreal,4.06,2017,,,,,,8.1,7.2
Far Cry 4,PS4,Ubisoft,Ubisoft Montreal,4.06,2014,,,,,,8.4,7.7
Carnival Games,Wii,Global Star Software,Cat Daddy Games,4.06,2007,,,,,,4.2,
World Soccer Winning Eleven 9,PS2,Konami,Konami Computer Entertainment Tokyo,4.06,2006,,,,,,8.9,
Forza Motorsport 2,X360,Microsoft Game Studios,Turn 10 Studios,4.05,2007,,,,,,9.1,
Namco Museum Vol.3,PS,Namco,Namco,4.05,1997,,,,,,,
Tekken Tag Tournament,PS2,Namco,Namco,4.05,2000,,,,,,8.7,
Golf,NES,Nintendo,Nintendo,4.01,1985,,,,,,,
Super Mario Maker,WiiU,Nintendo,Nintendo EAD,4.01,2015,,,,,,8.8,8.7
Arma III,PC,Bohemia Interactive,Bohemia Interactive,4,2013,,,,,,,
Diablo II,PC,Blizzard Entertainment,Blizzard North,4,2000,,,,,,8.8,
Disney's Aladdin,GEN,Sega,Virgin Interactive,4,1993,,,,,,,
EyeToy Play,PS2,Sony Computer Entertainment,SCEE London Studio,4,2003,,,,,,7.5,
Just Dance,Wii,Ubisoft,Ubisoft Paris,4,2009,,,,,,5.4,
Monster Hunter: World,PS4,Capcom,Capcom,4,2018,,,,,,9.3,9
Star Fox 64,N64,Nintendo,Nintendo EAD,4,1997,,,,,,9,
The Last of Us: Part II,PS4,Sony Interactive Entertainment,Naughty Dog,4,2020,,,,,,9.4,5.6
World of Warcraft: Wrath of the Lich King,PC,Blizzard Entertainment,Blizzard Entertainment,4,2008,,,,,,9.3,9.3
Fallout 3,PS3,Bethesda Softworks,Bethesda Game Studios,4,2008,,,,,,8.8,
The Legend of Zelda: Oracle of Ages / Seasons,GBC,Nintendo,Capcom,3.99,2001,,,,,,,
The Elder Scrolls V: Skyrim,PC,Bethesda Softworks,Bethesda Game Studios,3.99,2011,,,,,,9.2,8.2
Namco Museum: 50th Anniversary,PS2,Namco,Digital Eclipse,3.98,2005,,,,,,5,
